Date/Time,Word Count,en,ko
2025.05.28-09.21.35,0,0,0
2025.05.28-09.23.58,69,0,69
2026.03.21-16.51.36,117,0,117
2026.03.21-17.04.03,139,0,139
2026.03.22-09.09.32,160,22,160
2026.03.22-10.08.11,168,22,168
2026.03.22-13.41.59,203,22,203
2026.03.23-13.09.08,209,22,209
2026.03.23-13.49.52,218,22,218
2026.03.23-14.00.45,221,22,221
2026.03.23-14.38.51,222,22,222
2026.03.23-15.31.12,231,22,231
2026.03.23-16.35.15,247,22,247
2026.03.23-16.52.45,288,22,288
2026.03.23-17.14.50,290,22,290
2026.03.24-13.14.17,296,22,296
